# galaxy_id redshift_true ra dec mag_u_obs magerr_u_obs mag_g_obs magerr_g_obs mag_r_obs magerr_r_obs mag_i_obs magerr_i_obs mag_z_obs magerr_z_obs mag_y_obs magerr_y_obs
1.062552928100000000e+10 5.530302524566650391e-01 6.876109570087230338e+01 -4.172817973079251885e+01 2.586259651184082031e+01 3.746632933616638184e-01 2.567200469970703125e+01 6.597374379634857178e-02 2.476405525207519531e+01 2.676723524928092957e-02 2.428609848022460938e+01 2.508084475994110107e-02 2.414533233642578125e+01 3.855512663722038269e-02 2.398746490478515625e+01 7.618302106857299805e-02
1.193764868400000000e+10 3.375113010406494141e-01 6.745536053568075374e+01 -4.575641128333182195e+01 2.615880775451660156e+01 4.919502139091491699e-01 2.502303123474121094e+01 3.665440902113914490e-02 2.401765251159667969e+01 1.422259584069252014e-02 2.373946952819824219e+01 1.574355736374855042e-02 2.363866043090820312e+01 2.456185780465602875e-02 2.359218406677246094e+01 5.311794951558113098e-02
8.941195569000000000e+09 1.223921537399291992e+00 6.501948280432993954e+01 -3.860953823569391830e+01 2.598784828186035156e+01 4.203857183456420898e-01 2.556233024597167969e+01 5.970065295696258545e-02 2.515766525268554688e+01 3.803537786006927490e-02 2.461087608337402344e+01 3.345820307731628418e-02 2.388412094116210938e+01 3.050983324646949768e-02 2.347993087768554688e+01 4.796870797872543335e-02
1.056293882700000000e+10 5.089579820632934570e-01 6.720666469334824455e+01 -4.214057151235689958e+01 2.659677886962890625e+01 7.360309958457946777e-01 2.524729728698730469e+01 4.485835507512092590e-02 2.399986267089843750e+01 1.402302272617816925e-02 2.364009857177734375e+01 1.452652551233768463e-02 2.350376701354980469e+01 2.184118889272212982e-02 2.345638275146484375e+01 4.695488512516021729e-02
7.000631811000000000e+09 5.513770915654248039e-01 6.293205201585082165e+01 -3.497797119379338682e+01 2.626821708679199219e+01 5.440295338630676270e-01 2.670982933044433594e+01 1.707221865653991699e-01 2.546115875244140625e+01 5.005554482340812683e-02 2.489539337158203125e+01 4.322832450270652771e-02 2.490699005126953125e+01 7.706099748611450195e-02 2.458877372741699219e+01 1.322114318609237671e-01
1.125281588600000000e+10 1.080631732940673828e+00 6.631342064619337862e+01 -4.410906926036066977e+01 2.449630737304687500e+01 1.070414483547210693e-01 2.464157295227050781e+01 2.612053230404853821e-02 2.441886711120605469e+01 1.982565037906169891e-02 2.409049797058105469e+01 2.115547843277454376e-02 2.352902793884277344e+01 2.232406474649906158e-02 2.335085678100585938e+01 4.267614707350730896e-02
1.050014423400000000e+10 3.438117504119873047e-01 6.408391529653256669e+01 -4.287898800592121518e+01 9.900000000000000000e+01 2.662082481384277344e+01 2.652965354919433594e+01 1.446841359138488770e-01 2.533305549621582031e+01 4.456461966037750244e-02 2.484004783630371094e+01 4.111833870410919189e-02 2.464170074462890625e+01 6.047890335321426392e-02 2.441914176940917969e+01 1.131460294127464294e-01
7.063686798000000000e+09 7.636003494262695312e-01 6.707145642533338048e+01 -3.580224785204804050e+01 2.717740249633789062e+01 1.255945205688476562e+00 2.582495307922363281e+01 7.585824280977249146e-02 2.502777099609375000e+01 3.384607657790184021e-02 2.400624275207519531e+01 1.968077756464481354e-02 2.387577438354492188e+01 3.028396517038345337e-02 2.375251197814941406e+01 6.146897375583648682e-02
6.063761002000000000e+09 7.445417599308397083e-01 6.397812202271803272e+01 -3.388428928301836152e+01 2.520454788208007812e+01 2.047265022993087769e-01 2.487885475158691406e+01 3.222171962261199951e-02 2.423542594909667969e+01 1.698381826281547546e-02 2.344331741333007812e+01 1.245613954961299896e-02 2.340219688415527344e+01 2.001471258699893951e-02 2.335024452209472656e+01 4.265258088707923889e-02
7.002173862000000000e+09 9.670661687850952148e-01 6.408833227602421800e+01 -3.603463995724858648e+01 2.544781875610351562e+01 2.559439539909362793e-01 2.553009414672851562e+01 5.797455832362174988e-02 2.533223342895507812e+01 4.453140124678611755e-02 2.483137893676757812e+01 4.079767316579818726e-02 2.444755744934082031e+01 5.068283900618553162e-02 2.445260429382324219e+01 1.166748553514480591e-01
6.063854491000000000e+09 8.145411014556884766e-01 6.497869257548229882e+01 -3.408750515944274895e+01 2.779890060424804688e+01 2.225689411163330078e+00 2.619044685363769531e+01 1.059925481677055359e-01 2.534657287597656250e+01 4.511342570185661316e-02 2.429737091064453125e+01 2.533019147813320160e-02 2.392080688476562500e+01 3.152375668287277222e-02 2.383404922485351562e+01 6.621649861335754395e-02
8.001369149000000000e+09 8.233965635299682617e-01 6.448740997365131022e+01 -3.611924874701478672e+01 2.595214843750000000e+01 4.068112373352050781e-01 2.583110427856445312e+01 7.628565281629562378e-02 2.486225128173828125e+01 2.919899486005306244e-02 2.375680923461914062e+01 1.596880331635475159e-02 2.337093734741210938e+01 1.948797516524791718e-02 2.328590774536132812e+01 4.024474322795867920e-02
1.056270569700000000e+10 3.728861428461987537e-01 6.602727992103105237e+01 -4.271375682778710114e+01 2.639116668701171875e+01 6.091727018356323242e-01 2.573942565917968750e+01 7.015901803970336914e-02 2.477119255065917969e+01 2.693634480237960815e-02 2.461352920532226562e+01 3.353773429989814758e-02 2.449724006652832031e+01 5.302408337593078613e-02 2.470171546936035156e+01 1.466634422540664673e-01
7.938007988000000000e+09 5.119973911637789588e-01 6.096316758886069920e+01 -3.723395183435059153e+01 2.648282814025878906e+01 6.627702713012695312e-01 2.651516532897949219e+01 1.427730470895767212e-01 2.546421241760253906e+01 5.019494518637657166e-02 2.493061828613281250e+01 4.462894424796104431e-02 2.472265434265136719e+01 6.511442363262176514e-02 2.451604270935058594e+01 1.236698925495147705e-01
9.688516553000000000e+09 7.159080505371093750e-01 6.165920236220657813e+01 -4.052643665998838429e+01 2.592744064331054688e+01 3.976762890815734863e-01 2.548019790649414062e+01 5.540302768349647522e-02 2.453713607788085938e+01 2.194856666028499603e-02 2.361850547790527344e+01 1.427811663597822189e-02 2.342010879516601562e+01 2.032381854951381683e-02 2.331900978088378906e+01 4.146542772650718689e-02
7.939692501000000000e+09 1.002250909805297852e+00 6.188058330509421268e+01 -3.813270677140334186e+01 2.533530426025390625e+01 2.308259457349777222e-01 2.557201766967773438e+01 6.022941321134567261e-02 2.520178222656250000e+01 3.957835957407951355e-02 2.455061721801757812e+01 3.170311823487281799e-02 2.405075836181640625e+01 3.541171923279762268e-02 2.405842781066894531e+01 8.129361271858215332e-02
1.050053374500000000e+10 5.436226129531860352e-01 6.377905708712660982e+01 -4.205503109206601664e+01 2.558496284484863281e+01 2.902983129024505615e-01 2.401362991333007812e+01 1.533829793334007263e-02 2.258018112182617188e+01 6.205533165484666824e-03 2.167229270935058594e+01 5.535713862627744675e-03 2.129847908020019531e+01 5.808649584650993347e-03 2.108865356445312500e+01 7.394361309707164764e-03
7.015388331000000000e+09 2.348335027694702148e+00 6.296051126907254769e+01 -3.464869998113794480e+01 2.463059997558593750e+01 1.210156902670860291e-01 2.410266113281250000e+01 1.649205945432186127e-02 2.379158782958984375e+01 1.194357499480247498e-02 2.370914077758789062e+01 1.535896956920623779e-02 2.373362541198730469e+01 2.669985219836235046e-02 2.346121788024902344e+01 4.716140404343605042e-02
1.131732894900000000e+10 1.412275314331054688e+00 6.763522080740474962e+01 -4.289846194631557097e+01 2.503701972961425781e+01 1.755705028772354126e-01 2.500150680541992188e+01 3.595408052206039429e-02 2.494407272338867188e+01 3.140533715486526489e-02 2.483793640136718750e+01 4.104022309184074402e-02 2.456629562377929688e+01 5.646315217018127441e-02 2.401367378234863281e+01 7.803160697221755981e-02
9.812559900000000000e+09 2.643319368362426758e-01 6.858905706045494810e+01 -4.042516954702858101e+01 2.403338050842285156e+01 7.022243738174438477e-02 2.218103218078613281e+01 5.779498722404241562e-03 2.081957054138183594e+01 5.072883795946836472e-03 2.027064895629882812e+01 5.058689508587121964e-03 2.000442123413085938e+01 5.102920345962047577e-03 1.975922584533691406e+01 5.291502922773361206e-03
1.125042596000000000e+10 5.339165925979614258e-01 6.478901442117445697e+01 -4.397236933777041656e+01 2.593495178222656250e+01 4.004306793212890625e-01 2.551653480529785156e+01 5.726409703493118286e-02 2.462248802185058594e+01 2.363893203437328339e-02 2.406511688232421875e+01 2.069843560457229614e-02 2.380553436279296875e+01 2.845248579978942871e-02 2.367227554321289062e+01 5.713449046015739441e-02
8.938143600000000000e+09 5.846858024597167969e-01 6.670409821165343089e+01 -3.801937321993506202e+01 2.784900093078613281e+01 2.330762863159179688e+00 2.470606231689453125e+01 2.764521166682243347e-02 2.324941253662109375e+01 8.323795162141323090e-03 2.222309494018554688e+01 6.298286840319633484e-03 2.184678459167480469e+01 6.913293153047561646e-03 2.158498573303222656e+01 9.854774922132492065e-03
9.813265418000000000e+09 6.435724496841430664e-01 6.686822585728330637e+01 -3.948292143117984665e+01 2.342966079711914062e+01 4.076468572020530701e-02 2.302934646606445312e+01 7.825681008398532867e-03 2.233905601501464844e+01 5.819950718432664871e-03 2.169542312622070312e+01 5.556249059736728668e-03 2.150473594665527344e+01 6.123748607933521271e-03 2.133474540710449219e+01 8.427697233855724335e-03
1.050063215700000000e+10 5.893701314926147461e-01 6.321608153448774203e+01 -4.129863560801710065e+01 2.768702125549316406e+01 2.007839441299438477e+00 2.668500709533691406e+01 1.668726503849029541e-01 2.563105010986328125e+01 5.842459574341773987e-02 2.495199394226074219e+01 4.550148546695709229e-02 2.491553306579589844e+01 7.766562700271606445e-02 2.454207801818847656e+01 1.266616731882095337e-01
7.938679719000000000e+09 7.507112026214599609e-01 6.168257321539425675e+01 -3.733031298067088244e+01 9.900000000000000000e+01 2.662082481384277344e+01 2.697355079650878906e+01 2.175458371639251709e-01 2.570678901672363281e+01 6.260205060243606567e-02 2.459810256958007812e+01 3.307789564132690430e-02 2.413517951965332031e+01 3.820418566465377808e-02 2.399876022338867188e+01 7.697391510009765625e-02
9.687504684000000000e+09 1.038227081298828125e-01 6.300677747611275237e+01 -4.043745621772481513e+01 2.442112159729003906e+01 9.994120150804519653e-02 2.323124504089355469e+01 8.761733770370483398e-03 2.278533363342285156e+01 6.662160623818635941e-03 2.261958694458007812e+01 7.388150319457054138e-03 2.254908370971679688e+01 1.024340093135833740e-02 2.250626182556152344e+01 2.020497620105743408e-02
8.062685196000000000e+09 3.597058932641542528e-01 6.851493590675669054e+01 -3.751240793177530719e+01 2.606030654907226562e+01 4.493483603000640869e-01 2.669265747070312500e+01 1.680499762296676636e-01 2.512456512451171875e+01 3.691891953349113464e-02 2.464829444885253906e+01 3.459911048412322998e-02 2.440052795410156250e+01 4.856418818235397339e-02 2.425437545776367188e+01 9.727656841278076172e-02
8.064132551000000000e+09 8.395559060360857639e-01 6.804401039736090695e+01 -3.694087646589161267e+01 2.560354232788085938e+01 2.952961921691894531e-01 2.585770606994628906e+01 7.816285640001296997e-02 2.565470314025878906e+01 5.969766899943351746e-02 2.467096519470214844e+01 3.531033545732498169e-02 2.459544944763183594e+01 5.798223614692687988e-02 2.448042297363281250e+01 1.196918115019798279e-01
8.065029635000000000e+09 1.018830060958862305e+00 6.683428582367363902e+01 -3.694880536670213900e+01 2.260384178161621094e+01 1.990282721817493439e-02 2.268451118469238281e+01 6.696705706417560577e-03 2.260493278503417969e+01 6.253648549318313599e-03 2.223864173889160156e+01 6.330470554530620575e-03 2.173826217651367188e+01 6.619793828576803207e-03 2.155783653259277344e+01 9.678799659013748169e-03
9.814441915000000000e+09 9.174298048019409180e-01 6.796908106655777715e+01 -3.930549905603447058e+01 2.598538017272949219e+01 4.194320440292358398e-01 2.638282203674316406e+01 1.264425516128540039e-01 2.552132415771484375e+01 5.286956951022148132e-02 2.475781250000000000e+01 3.817877918481826782e-02 2.439639091491699219e+01 4.838226735591888428e-02 2.429607200622558594e+01 1.010675802826881409e-01
8.937583564000000000e+09 2.877408266067504883e-01 6.626633824933084327e+01 -3.801745650737453985e+01 2.431274986267089844e+01 9.053714573383331299e-02 2.276643562316894531e+01 6.919402163475751877e-03 2.153097724914550781e+01 5.221383646130561829e-03 2.102381896972656250e+01 5.187699105590581894e-03 2.070829391479492188e+01 5.311905872076749802e-03 2.050826644897460938e+01 5.974800325930118561e-03
1.125153386500000000e+10 8.645637035369873047e-01 6.537494317158980550e+01 -4.421826916685699871e+01 2.427698516845703125e+01 8.763459324836730957e-02 2.424667549133300781e+01 1.859051175415515900e-02 2.397960090637207031e+01 1.380024664103984833e-02 2.320095825195312500e+01 1.043824851512908936e-02 2.296819686889648438e+01 1.398389227688312531e-02 2.284221649169921875e+01 2.706966549158096313e-02
1.056446269800000000e+10 9.295729398727416992e-01 6.557758760645502605e+01 -4.245058990908275121e+01 2.398733329772949219e+01 6.734991818666458130e-02 2.389859580993652344e+01 1.399430353194475174e-02 2.347315216064453125e+01 9.549560956656932831e-03 2.276648712158203125e+01 7.965694181621074677e-03 2.232070541381835938e+01 8.832749910652637482e-03 2.220494842529296875e+01 1.569784991443157196e-02
9.813386990000000000e+09 6.689937588065483220e-01 6.708222450872391107e+01 -4.027326682259724322e+01 2.640344429016113281e+01 6.160925030708312988e-01 2.615679168701171875e+01 1.027734428644180298e-01 2.548458099365234375e+01 5.113264545798301697e-02 2.490868377685546875e+01 4.375124350190162659e-02 2.474385643005371094e+01 6.638654321432113647e-02 2.501879882812500000e+01 1.962884813547134399e-01
1.056504810900000000e+10 1.045731782913208008e+00 6.562056988620284415e+01 -4.168068717439393112e+01 2.748052024841308594e+01 1.660196304321289062e+00 2.526088905334472656e+01 4.541271552443504333e-02 2.369876289367675781e+01 1.115608587861061096e-02 2.273592948913574219e+01 7.836385630071163177e-03 2.183081817626953125e+01 6.867269054055213928e-03 2.134256935119628906e+01 8.466102182865142822e-03
